object_id,numero_de_chamada,autor_principal,entradas_secundariasautor,entradas_secundariasautor_2,titulo_principal,publicacao,descricao_fisica,notas,assuntos,entradas_secundariasautor_3,catalogacao_pre_marc,serie,isbn,outros_titulos,entradas_secundariasautor_4,entradas_secundariasautor_5,entradas_secundariasautor_6,entradas_secundariasautor_7,entradas_secundariasautor_8,entradas_secundariasautor_9,notas_de_resumo,entradas_secundariastitulo,edicao,issn,entradas_secundariasautor_10,entradas_secundariasautor_11,entradas_secundariasautor_12,entradas_secundariasautor_13,entradas_secundariasautor_14,entradas_secundariasautor_15,entradas_secundariasautor_16,entradas_secundariasautor_17,entradas_secundariasautor_18,entradas_secundariasautor_19,entradas_secundariasautor_20,entradas_secundariasautor_21,entradas_secundariasautor_22,entradas_secundariasautor_23,entradas_secundariasautor_24
824,,"Whitaker, Paulo",,,Paulo Whitaker,"Curitiba : Galertia Casa da Imagem, 1999.",19 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,351.85 M665m  2012 Coleção Bibliográfica,Ministério da Cultura,"Hollanda, Ana de texto 
Mamberti, Sérgio texto",,As metas do plano nacional de cultura,"São Paulo : Via Pública, 2012.",214 p. : il. color. ; 19 cm,,"Política de governo Brasil -- Século XX
Cultura Brasil",,,,ISBN : 9788560618071,,,,,,,,,,,,,,,,,,,,,,,,,,
632,"INDIVIDUAL RIBEIRO, Liliana R484h  2002 Coleção Bibliográfica","Ribeiro, Liliana",Serviço Social do Comércio. SESC,São Paulo,Happy birthday to you! / Liliana Ribeiro ; [texto] Celso Fioravante,"São Paulo : SESC, 2002.",5 p. : il. color. ; 16 cm,"Catálogo publicado em decorrência da exposição realizada na Galeria SESC Av. Paulista, na cidade de São Paulo no período de 5 de abril a 3 de maio de 2002. Conteúdo incompleto : Contém biografia da artista.","Happy birthday to you! São Paulo 2002
Arte plástica Brasil -- Século 21
Arte contemporânea (período) Brasil -- Século 21","Fioravante, Celso texto 
Serviço Social do Comércio. SESC São Paulo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,COLETIVO Banco Real B213b  1999 Coleção Bibliográfica,Banco Real São Paulo 1999,Banco Real,São Paulo,O Brasil e os holandeses / [coordenação] Maria Clara Rodrigues,"São Paulo : Banco Real, 1999.",57 p. : il. color. ; 22 cm,"Catálogo publicado em decorrência da exposição realizada na Praça do Banco Real, na cidade Paulista - SP, no período de 04 de outubro a 12 de novembro de 1999. Conteúdo incompleto : Inclui Cronologia do Brasil Holandês.","Luiken, Jan artista
O Brasil e os holandeses São Paulo 1999
História da arte Brasil -- século 20 - 21
Matham, Theodor artista
Pintura (obra visual) Brasil -- século 20 - 21
Post, Frans artista
Arte contemporânea (período) Brasil -- século 20 - 21
Marcgrave, George artista
Vooght, Claes Jansz artista
Piso, Wilem artista
Vingboons, Johannes artista",1999,,,,,"Rodrigues, Maria Clara coordenador geral
Banco Real São Paulo 1999
Mello, Ulysses Pernambuco de texto
Silva, Leonardo Dantas texto
Reis, Paulo texto
Menezes, José Luiz Mota texto
Mesquita, Liana texto
Berden, Anton texto",,,,,,,,,,,,,,,,,,,,,,,,
999,,"Spencer, Shawn",,,Recent paintings,"New York : Edward Thorp Gallery, 1998.",1 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,"INDIVIDUAL SOUZA, Edgard S719e  1998 Coleção Bibliográfica","Souza, Edgard de",Centro Cultural de São Paulo,São Paulo,Edgard Souza / [texto] Iran do Espirito Santo,"São Paulo : Centro Cultural São Paulo, 1998.",10 p. : il. p&b. ; 17 cm,"Catálogo publicado em decorrência da exposição realizada no Centro Cultural São Paulo, na cidade de São Paulo no período de 28 de outubro a 22 de novembro de 1998.","Edgard de Souza São Paulo 1998
Arte performática Brasil -- século 20 - 21
Pintura (obra visual) Brasil -- século 20 - 21
Arte contemporânea (período) Brasil -- século 20 - 21",1998,,,,,"Santo, Iran do Espírito texto 
Centro Cultural de São Paulo São Paulo 1998",,,,,,,,,,,,,,,,,,,,,,,,
650,,,,,III Salão MAM-Bahia,"Salvador : Museu de Arte Moderna, 1996.",ca. 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,Até que a rua nos separe,"Rio de Janeiro : NAU, 2012.",ca. 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,"INDIVIDUAL ARP, Hans A772h  2014","Arp, Hans, 1886-1966",Hauser & Wirth,Londres,Hans Arp : chance form language / [curadoria de Julian Heynen],"Berlin : Distanz, 2014.",115 p. : il. color. ; 28 cm,"Catálogo publicado em decorrência da exposição realizada no Hauser & Wirth, na cidade de Londres no período de 10 de janeiro a 1 de março de 2014. 
Texto em inglês.","Hans Arp: chance form language Londres 2014
Escultura (trabalho visual) França -- Século 20
Abstrato (artes plásticas de estilo) França -- Século 20
Surrealismo França -- Século 20
Arte concreta França -- Século 20
Arte moderna (período) França -- Século 20","Heynen, Julian curadoria 
Hauser & Wirth Londres",,,ISBN : 9783954760565,,,,,,,,,,,,,,,,,,,,,,,,,,
809,"INDIVIDUAL DUARTE, Oriana D812p  2011 Coleção Bibliográfica","Duarte, Oriana",Santander Cultural,Recife,"Plus ultra (nós, errantes) : Oriana Duarte ; [curadoria e texto] Fernando Cocchiarale ; [tradução] Paul Webb","Recife : Santander Cultural, 2011.",45 p. : il. color. ; 20 cm,"Catálogo publicado em decorrência da exposição realizada na Galeria Marcantonio Vilaça, na cidade do Recife no período de 18 de outubro a 27 de novembro de 2011. Conteúdo incompleto : Contém biografia da artista.
Texto em português e inglês.","Plus ultra (nós, errantes) Recife 2011
Fotografia Brasil -- Século 21
Desenho (obra visual) Brasil -- Século 21
Arte contemporânea (período) Brasil -- Século 21",Galeria Marcantonio Vilaça,,,,,Recife,"Cocchiarale, Fernando curadoria  texto
Santander Cultural Recife
Webb, Paul tradução
Galeria Marcantonio Vilaça Recife",,,,,,,,,,,,,,,,,,,,,,,
711,COLETIVO Fundação de Cultura Cidade do Recife F981l  2007 Coleção Bibliográfica,Fundação de Cultura Cidade do Recife,"Berthé, Dominique curadoria  texto
Sá, Mateus texto",,Linguagens / Fundação de Cultura Cidade do Recife ; [curadoria e texto] Dominique Berthé ; [texto] Mateus Sá,"Recife : Fundação de Cultura da cidade do Recife, 2007.",[96] p. : il. color. ; 21 cm,"Catálogo publicado em decorrência da exposição realizada na Fundação de Cultura Cidade do Recife, em 2007.","Ferreira, Alcione artista
Linguagens Recife 2007
Fotografia Brasil -- Século 21
Lacerda, Alcir artista
Arte contemporânea (período) Brasil -- Século 21
Annaclarice artista
Carvalho, Arnaldo artista
Wagner, Bárbara artista
Figueiroa, Beto artista
Vieira, Bruno artista
Vilela, Bruno artista
Mélo, Carlos artista
Costa Neto artista
Santana, Damião artista
Berinson, Daniel artista
Queiroga, Eduardo artista
Magno, Geyson artista
Spíndola, Glauco artista
Bettini, Gustavo artista
Cunha, Heitor Soares da artista
Ferrer, Helder artista
Tavares, Helder artista
Innó artista
Belo, Isaías artista
Maia, Jaqueline artista
Santana, Jesuel artista
Rodrigues, Josivan artista
Santos, Luiz artista
Veiga, Manoel artista
Lyra, Marcelo artista
Michael, Marcos artista
Nino, Maria artista
Targino, Mila artista
Guimarães, Roberta artista
Lôbo, Rodrigo artista
Maris, Stela artista
Lubambo, Tadeu artista
Maia, Teresa artista
Siqueira, Tuca artista
Lima, Vládia artista
Xirumba artista
Mello, Yêda B. artista",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,"INDIVIDUAL MORENO, Gustavo M843c  2012 Coleção Bibliográfica","Moreno, Gustavo",Paulo Darzé Galeria de Arte,Salvador,"Cada um de nós, também os outros / Gustavo Moreno ; [texto] Marcus de Lontra Costa, Claudius Portugal","Salvador : Paulo Darzé Galeria de Arte, 2012.",[52] p. : il. color. ; 26 cm,"Catálogo publicado em decorrência da exposição realizada na Paulo Darzé Galeria de Arte, na cidade de Salvador no período de 9 de novembro a 7 de dezembro de 2012. Conteúdo incompleto : Contém biografia do artista.","Cada um de nós, também os outros Salvador 2012
Fotografia Brasil -- Século 21
Arte contemporânea (período) Brasil -- Século 21","Costa, Marcus de Lontra texto 
Paulo Darzé Galeria de Arte Salvador
Portugal, Claudius texto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Fundação Roberto Marinho,,008(81) C122  200? Coleção BibliográficaFundação Roberto Marinho,,Caderno de cultura de Belo Horizonte / Prefeitura de Belo Horizonte,"Belo Horizonte : Fundação Roberto Marinho, 200?.",79 p. : il. color. ; 26 cm,,Cultura Belo Horizonte -- Século 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,,,,,Bem do Brasil,"Rio de Janeiro : IPHAN, 2010.",1 f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,"Caravello, Luciana",,,Arte contemporânea,"Rio de Janeiro : s. n., 20--?.",32 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,COLETIVO Escola de Belas Artes da UFRJ E74d  2012 Coleção Bibliográfica,Escola de Belas Artes da UFRJ Rio de Janeiro,Escola de Belas Artes da UFRJ,Rio de Janeiro,Deslocamento f(r)icção : Gustavo Capanema / [organização] Cezar Bartholomeu,"Rio de Janeiro : Escola de Belas Artes da UFRJ, 2012.",119 p. : il. color. ; 21 cm,"Catálogo publicado em decorrência da exposição realizada no Palácio Gustavo Capanema, na cidade do Rio de Janeiro no período de 23 de agosto a 21 de setembro de 2012.","Jordão, Paulo Veiga Artista
Técnica mista -- Brasil -- século 21
Branco, Helio Artista
Instalação (trabalho visual) -- Brasil -- século 21
Hupe, Ana Artista
Arte performática -- Brasil -- século 21
Steindorf, Johanna Artista
Arte contemporânea (período) -- Brasil -- século 21
Miranda, Jefferson Artista
Redin, Mayana Artista
Silva-Avária, Cristián Artista
Cordeiro, Carolina Artista
Versiex, Raquel Artista
Flores, Ana Luísa Artista
Vidal, Luisa Artista
Meyer, Pedro Artista
Carneiro, Isabel Artista
Borges, Carlos Artista
Seixas, Alvaro Artista
Cunha, Analu Artista
Esteves, Bete Artista
Pádula, Cristina de Artista
Lannes, Daniel Artista
Magalhães, Elisa de Artista
Braga, Felipe Artista
Moreno, Felipe Artista
Romano, Floriano Artista
Carvalho, Fred Artista
Mureb, Gabriela Artista
Roriz, Isabela Artista
Pombo, Julia Artista
Ricardo, Nelson Artista
Alonso, Rafael Artista
Mauríco, Ricardo Artista",2012,,,ISBN : 9788587145505,,"Bartholomeu, Cezar organização 
Escola de Belas Artes da UFRJ Rio de Janeiro 2012",,,,,,Resumo : Prêmio Funarte de Arte Contemporânea 2012 - Projeteis Funarte de Artes Visuais Rio de Janeiro.,,,,,,,,,,,,,,,,,,
742,,"Hoffmann, Walton",,,Memory games,"Rio de Janeiro : Fundação Casa França-Brasil, 1995.",6 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,"INDIVIDUAL SALDANHA, Ione S162i  1996 Coleção Bibliográfica","Saldanha, Ione",Paço Imperial,Rio de Janeiro,Ione Saldanha / [curadoria e texto] Cláudia Saldanha ; [fotografia] Vicente de Mello,"Rio de Janeiro : Paço Imperial, 1996.",[32] p. : il. color. ; 27 cm,"Catálogo publicado em decorrência da exposição realizada no Paço Imperial, na cidade do Rio de Janeiro no período de 9 de maio a 23 de junho de 1996. Conteúdo incompleto : Contém biografia da artista.","Pintura (obra visual) Brasil -- Século 20
Desenho (obra visual) Brasil -- Século 20
Arte contemporânea (período) Brasil -- Século 20","Saldanha, Claudia Werneck curadoria  texto
Paço Imperial Rio de Janeiro
Mello, Vicente de fotografia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,77(81) C898e  2002 Coleção Bibliográfica,"Cravo Neto, Mario","Leffingwell, Edward prefácio
Fonteles, Bené curadoria",,The eternal now / [curador] Bené Fonteles; [prefácio] Edward Leffingwell,"Salvador : Áries, 2002.",238 p. : il. color. ; 28 cm,Texto em português com traduções em inglês.,"Fotografia -- Brasil -- século 20 - 21
Fotografia -- Brasil -- século 20 - 21
Arte contemporânea (período) -- Brasil -- século 20 - 21",,,,ISBN : 8585098058,,,,,,,,,,,,,,,,,,,,,,,,,,
